n_assets,choose_k,run_idx,best_objective,reference_objective,gap_to_reference,selected_count,feasible_cardinality,expected_return,portfolio_variance,acceptance_rate
16,4,12,-0.8733770358065556,-0.9825130170201177,0.10913598121356216,4,True,0.553533335009029,0.15372870901211755,0.08886666666666666
16,4,13,-0.9466534688147235,-0.9825130170201177,0.035859548205394276,4,True,0.5713131344971636,0.1021377166002199,0.08888888888888889
16,4,14,-0.9302954720465451,-0.9825130170201177,0.05221754497357267,4,True,0.557499490578724,0.09150451374395335,0.08884444444444445
16,4,15,-0.8843128509870226,-0.9825130170201177,0.09820016603309512,4,True,0.5337234435199275,0.09548668418606242,0.08886666666666666
16,4,16,-0.7783873624776518,-0.9825130170201177,0.2041256545424659,4,True,0.4815512818649902,0.11050618109916094,0.08884444444444445
16,4,17,-0.9466534688147235,-0.9825130170201177,0.035859548205394276,4,True,0.5713131344971636,0.1021377166002199,0.08884444444444445
16,4,18,-0.9302954720465451,-0.9825130170201177,0.05221754497357267,4,True,0.557499490578724,0.09150451374395335,0.08884444444444445
16,4,19,-0.8843128509870226,-0.9825130170201177,0.09820016603309512,4,True,0.5337234435199275,0.09548668418606242,0.08893333333333334
16,4,20,-0.8475000023959467,-0.9825130170201177,0.13501301462417103,4,True,0.5328650223831223,0.13957129736711307,0.08922222222222222
16,4,21,-0.8454824833589498,-0.9825130170201177,0.1370305336611679,4,True,0.5430764402228159,0.16506888630265798,0.08775555555555556
16,4,22,-0.9578765969439473,-0.9825130170201177,0.024636420076170396,4,True,0.5968895546831732,0.14565575185719812,0.08913333333333333
16,4,23,-0.7806032720656759,-0.9825130170201177,0.2019097449544418,4,True,0.513070209192009,0.1786538805999184,0.089
24,6,0,-1.5651779989916008,-1.8396478767202495,0.2744698777286487,6,True,0.9445075852733588,0.16866956812555156,0.11324444444444444
24,6,1,-1.5742735075568106,-1.8396478767202495,0.26537436916343893,6,True,0.9449344116642502,0.15826054179855265,0.1134
24,6,2,-1.6522961002519452,-1.8396478767202495,0.18735177646830437,6,True,0.9910991192301926,0.16460289295295333,0.1134
24,6,3,-1.5663056266003537,-1.8396478767202495,0.2733422501198959,6,True,0.9623720320319191,0.20745503882135002,0.11253333333333333
