n_cities,variables,run_idx,best_qubo_objective,raw_route_length,two_opt_route_length,raw_ratio_to_reference,two_opt_ratio_to_reference,raw_feasible,onehot_violation,acceptance_rate
16,256,17,75391.68917300308,124.44815192674861,52.60919816027051,2.590905256655582,1.0952790053653088,False,19,0.14390123456790124
16,256,18,75369.398481462,106.59709510257747,48.03269112487347,2.2192613531782053,1.0,False,21,0.1445679012345679
16,256,19,77933.91008108952,104.78873818576302,53.540540056455896,2.1816128917977435,1.1146687558534527,False,18,0.14320987654320988
16,256,20,83155.02501331286,116.23900442947938,62.960046687598464,2.4199977496011176,1.3107749162735323,False,18,0.14295061728395062
16,256,21,59764.440082326444,112.25458742614016,60.98361466705251,2.337045557874431,1.2696272734023946,False,19,0.143
16,256,22,67679.6318570604,126.24667445156273,54.22632878646964,2.628348974313175,1.1289462971269753,False,16,0.1398888888888889
16,256,23,59795.44156428725,109.2094396113155,54.41192485636101,2.273648156156755,1.1328102503127102,False,17,0.14330864197530865
20,400,0,330812.34784627816,158.58920868952615,70.60267730828235,2.6454435480781,1.1777308097166324,False,43,0.14449382716049383
20,400,1,313978.2900933484,179.84069804487257,72.97144224715962,2.9999419144342503,1.2172444309538404,False,41,0.1444074074074074
20,400,2,318231.041530637,127.32322517904255,81.45446901022078,2.123892333871255,1.358750707477661,False,44,0.14625925925925926
20,400,3,272050.83565334114,138.65668472123707,69.02039810891083,2.3129469843802895,1.1513366411989605,False,35,0.14650617283950618
20,400,4,296997.9083462047,156.97598668150204,77.4828887713815,2.618533219260583,1.2925003528329082,False,39,0.14837037037037037
20,400,5,226032.52636747644,165.17202069209353,65.89416664810021,2.755252138992351,1.0991876399135634,False,26,0.1483456790123457
20,400,6,138089.38043865855,129.84337266578015,61.10463281906393,2.165931183576642,1.0192929139670392,False,25,0.14706172839506174
20,400,7,364233.76123847906,152.37966892881238,80.02459401403917,2.5418615513441725,1.3348988097699663,False,43,0.15241975308641975
20,400,8,381017.92486724304,167.92405044499796,59.94806005395213,2.801159041574814,1.0,False,45,0.14535802469135803
20,400,9,330595.08028567804,140.2604995104294,79.3859176700781,2.339700390374561,1.3242449813827546,False,39,0.14485185185185184
20,400,10,364222.92608853313,122.53702189255286,61.84811867306587,2.044053165061085,1.031695080998513,False,41,0.15260493827160493
20,400,11,381002.09585530346,189.71500654370305,67.56793127854233,3.164656310362055,1.1271078866894517,False,47,0.144679012345679
20,400,12,293069.1153272777,142.62093608835798,69.69152299320702,2.3790750853322327,1.1625317471572216,False,38,0.14646913580246915
20,400,13,322351.3583065724,138.0311844081548,64.45125133627559,2.3025129467730783,1.075118215306228,False,41,0.15350617283950618
20,400,14,263634.7495017889,164.63801475230468,75.9866054582015,2.7463443288095317,1.2675406908883284,False,33,0.1428148148148148
20,400,15,301499.6587132026,165.2895622024688,82.74135169672223,2.757212861495623,1.380217335177428,False,40,0.14765432098765433
20,400,16,334911.818641261,156.82156705022268,83.41431324179842,2.6159573288791362,1.3914430786705543,False,40,0.1502962962962963
20,400,17,355850.7849902218,157.55636965818715,70.7331981586377,2.6282146497549608,1.1799080419779915,False,43,0.14307407407407408
20,400,18,347414.36657457595,181.46733807886932,62.21973032496035,3.027076070777805,1.0378939747001614,False,45,0.14755555555555555
20,400,19,238592.2811870952,152.96130284491107,71.86728804936479,2.5515638488926706,1.1988259167133277,False,41,0.1462469135802469
20,400,20,171622.52611523218,164.89382145603238,75.14534841506561,2.750611467787799,1.253507592196248,False,33,0.14495061728395062
20,400,21,297071.1774154208,144.64587232975717,61.71356662424987,2.412853263301241,1.0294506038845763,False,41,0.14406172839506173
20,400,22,305375.92898269364,142.93982960160042,64.79975303245784,2.384394582125881,1.0809316093654953,False,33,0.14695061728395062
20,400,23,196740.97480958747,142.29862761616639,63.7804807384788,2.3736986232431923,1.0639290192389472,False,31,0.14362962962962963
24,576,0,773571.9965431531,175.57495709699052,99.4234349956959,2.4401698997236947,1.381803404170053,False,56,0.15469135802469136
24,576,1,742232.6100143479,157.70092412005428,78.53421931273216,2.1917536222650904,1.0914816169333585,False,51,0.1572716049382716
